title,company,location,source,url,sponsorship_status,is_h1b_sponsor,first_seen,status,applied
Junior Data Scientist & AI,Joinrs,United States,linkedin,https://www.linkedin.com/jobs/view/junior-data-scientist-ai-at-joinrs-4401070004,unknown,0,2026-04-13T16:08:17.002447,new,0
Data Scientist,Visa,"Foster City, CA",linkedin,https://www.linkedin.com/jobs/view/data-scientist-at-visa-4399693148,likely,1,2026-04-13T16:08:17.001649,new,0
Data Scientist I,The Cadmus Group,"New York, NY",linkedin,https://www.linkedin.com/jobs/view/data-scientist-i-at-the-cadmus-group-4390614042,unknown,0,2026-04-13T16:08:17.000626,new,0
Machine Learning Engineer,Great Value Hiring,United States,linkedin,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-great-value-hiring-4378454290,likely,1,2026-04-13T16:08:16.999605,new,0
Machine Learning Engineer,Skild AI,"San Mateo, CA",linkedin,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-skild-ai-4299098257,unknown,0,2026-04-13T16:08:16.998562,new,0
Data Scientist (AI) Talent Pool,MBO Partners,United States,linkedin,https://www.linkedin.com/jobs/view/data-scientist-ai-talent-pool-at-mbo-partners-4385602936,unknown,0,2026-04-13T16:08:16.997322,new,0
Junior Data Scientist,Tech Consulting,"Florida, United States",linkedin,https://www.linkedin.com/jobs/view/junior-data-scientist-at-tech-consulting-4399606656,unknown,0,2026-04-13T16:08:16.996429,new,0
Data Scientist/Product Analytics,RiskPod,"New York, United States",linkedin,https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-riskpod-4399665052,unknown,0,2026-04-13T16:08:16.995203,new,0
Software Engineer,Protolabs,"Maple Plain, MN",linkedin,https://www.linkedin.com/jobs/view/software-engineer-at-protolabs-4389251256,unknown,0,2026-04-13T16:08:16.994185,new,0
"Data Scientist, Customer Analytics",Cresta,United States,linkedin,https://www.linkedin.com/jobs/view/data-scientist-customer-analytics-at-cresta-4364044356,unknown,0,2026-04-13T16:08:16.991276,new,0
